Symbol,Signal,EntryDate,ExitDate,EntryPrice,ExitPrice,PNL,EntryLow,EntryHigh,Stop,Target1,Target2,ExpiryDate,Status
SPY,PUT,2025-04-25,2025-05-02,550.64,566.76,-16.12,539.89,561.39,583.30,485.31,452.65,2025-04-30,EXITED_TIME
SPY,CALL,2025-05-07,2025-05-14,561.15,587.59,26.44,555.88,566.42,540.24,602.96,623.87,2025-05-12,EXITED_TIME
SPY,CALL,2025-05-27,2025-06-03,591.15,596.09,4.94,587.21,595.09,566.60,640.25,664.80,2025-06-01,EXITED_TIME
SPY,CALL,2025-06-26,2025-07-03,611.87,625.34,13.47,608.92,614.82,599.53,636.56,648.90,2025-07-01,EXITED_TIME
SPY,CALL,2025-08-14,2025-08-21,644.95,635.55,-9.40,641.86,648.04,633.06,668.74,680.63,2025-08-19,EXITED_TIME
SPY,CALL,2025-10-31,2025-11-07,682.06,670.97,-11.09,678.24,685.88,667.78,710.61,724.89,2025-11-05,EXITED_TIME
SPY,PUT,2026-01-02,2026-01-06,2.67,0.15,-252.07,679.00,683.00,695.00,665.00,650.00,2026-01-07,CLOSED_OPTIONS
SPY,PUT,2026-01-05,2026-01-06,0.62,0.23,-39.09,681.00,685.00,697.00,667.00,652.00,2026-01-07,CLOSED_OPTIONS
SPY,PUT,2026-01-05,2026-01-05,0.79,0.69,-10.09,681.00,685.00,697.00,667.00,652.00,2026-01-07,CLOSED_OPTIONS
SPY,PUT,2026-01-05,2026-01-05,0.70,0.66,-4.09,683.00,687.00,699.00,669.00,654.00,2026-01-06,CLOSED_OPTIONS
QQQ,PUT,2026-01-02,2026-01-05,1.83,0.65,-118.07,598.00,602.00,615.00,585.00,570.00,2026-01-12,CLOSED_OPTIONS
XLE,PUT,2026-01-02,2026-01-02,0.00,0.00,0.00,39.60,40.40,42.00,38.00,36.00,2026-01-02,EXPIRED_SHORT
IWM,PUT,2026-01-02,2026-01-02,0.00,0.00,0.00,230.00,234.00,240.00,224.00,216.00,2026-01-02,EXPIRED_SHORT
XLB,CALL,2025-12-15,2026-01-02,0.00,0.45,44.97,46.00,47.00,44.00,49.00,51.00,2026-01-23,CLOSED_PRIOR
SPY,PUT,2025-12-30,2026-01-02,0.00,1.81,180.97,678.00,682.00,694.00,666.00,652.00,2026-01-05,CLOSED_PRIOR
IWM,CALL,2026-01-05,,0.61,,0.00,268.00,272.00,256.00,284.00,298.00,2026-02-06,OPEN
