"Date","Type","Price","Index"
"1986-07-03","HIGH","4.11","191"
"1986-07-07","HIGH","3.94","192"
"1986-09-16","LOW","3.38","242"
"1987-04-06","HIGH","4.77","382"
"1987-10-05","HIGH","5.35","508"
"1987-10-06","HIGH","5.2","509"
"1987-10-28","LOW","3.28","525"
"1988-03-10","HIGH","4.46","617"
"1988-05-23","LOW","4.19","668"
"1988-07-06","HIGH","4.76","698"
"1988-09-01","LOW","4.21","739"
"1988-10-20","HIGH","4.51","773"
"1988-10-21","HIGH","4.49","774"
"1988-10-24","HIGH","4.46","775"
"1988-11-21","LOW","4.1","795"
"1989-06-08","HIGH","5.48","932"
"1989-10-10","HIGH","5.9","1018"
"1990-01-30","LOW","4.94","1095"
"1990-07-16","HIGH","6.15","1210"
"1990-10-12","LOW","4.17","1273"
"1991-04-17","HIGH","7.08","1401"
"1991-06-26","LOW","6.31","1450"
"1992-01-16","HIGH","8.8","1591"
"1992-08-25","LOW","7.3","1745"
"1993-01-26","HIGH","9.48","1851"
"1993-04-26","LOW","8.18","1913"
"1993-05-27","HIGH","9.32","1936"
"1994-03-17","HIGH","10.46","2140"
"1994-03-18","HIGH","10.44","2141"
"1994-06-24","LOW","8.79","2208"
"1995-10-10","LOW","13.77","2535"
"1995-11-06","HIGH","15.39","2554"
"1996-01-16","LOW","13.65","2602"
"1996-06-06","HIGH","17.18","2701"
"1996-07-16","LOW","15.36","2728"
"1997-01-23","HIGH","22.82","2861"
"1997-04-02","LOW","19.6","2908"
"1997-04-03","LOW","20.12","2909"
"1997-10-09","HIGH","28.71","3041"
"1997-10-28","LOW","26.17","3054"
"1998-01-12","LOW","24.28","3105"
"1998-06-12","LOW","29.67","3210"
"1998-07-21","HIGH","35.8","3236"
"1998-10-08","LOW","28.22","3292"
"2000-03-24","HIGH","117.29","3660"
"2000-05-24","LOW","79.51","3702"
"2000-09-01","HIGH","102.48","3772"
"2001-04-04","LOW","34.27","3919"
"2001-05-23","HIGH","48.94","3953"
"2001-09-21","LOW","28.17","4033"
"2001-12-06","HIGH","42.95","4086"
"2002-10-08","LOW","20.29","4296"
"2002-12-02","HIGH","28.01","4334"
"2003-02-13","LOW","23.8","4384"
"2004-01-20","HIGH","38.82","4618"
"2004-03-24","LOW","34.55","4663"
"2004-06-30","HIGH","37.92","4730"
"2004-08-13","LOW","32.7","4761"
"2004-12-15","HIGH","40.59","4847"
"2005-01-03","HIGH","40.09","4859"
"2005-04-29","LOW","35.52","4940"
"2005-08-02","HIGH","40.68","5005"
"2005-08-03","HIGH","40.68","5006"
"2005-10-13","LOW","38.34","5056"
"2006-01-11","HIGH","43.96","5117"
"2006-04-07","HIGH","43.08","5177"
"2006-07-18","LOW","36.81","5246"
"2007-03-05","LOW","42.82","5403"
"2007-08-16","LOW","46.15","5518"
"2007-10-31","HIGH","55.97","5571"
"2008-03-17","LOW","42.18","5664"
"2008-06-05","HIGH","51.38","5720"
"2008-11-21","LOW","27.14","5839"
"2009-03-09","LOW","26.1","5910"
"2010-02-05","LOW","43.65","6141"
"2010-04-26","HIGH","51.23","6195"
"2010-07-01","LOW","43.36","6242"
"2011-03-16","LOW","55.07","6420"
"2011-07-26","HIGH","60.74","6511"
"2011-08-09","LOW","54.02","6521"
"2011-10-27","HIGH","60","6577"
"2012-04-03","HIGH","69.57","6685"
"2012-06-04","LOW","61.95","6727"
"2012-09-21","HIGH","71.54","6804"
"2012-11-16","LOW","63.35","6842"
"2014-03-06","HIGH","93.02","7167"
"2014-04-15","LOW","87.2","7195"
"2014-10-15","LOW","94.65","7322"
"2014-11-28","HIGH","108.44","7353"
"2015-01-16","LOW","103.55","7386"
"2015-04-27","HIGH","113.13","7454"
"2015-07-20","HIGH","116.99","7512"
"2015-08-24","LOW","100.96","7537"
"2015-12-02","HIGH","117.16","7607"
"2016-02-08","LOW","99.02","7652"
"2016-04-19","HIGH","113.43","7701"
"2016-06-27","LOW","105.03","7749"
"2016-11-04","LOW","116.51","7841"
"2018-02-09","LOW","160.32","8158"
"2018-03-13","HIGH","176.16","8179"
"2018-10-01","HIGH","191.14","8319"
"2018-12-24","LOW","147.48","8377"
"2019-06-03","LOW","174.45","8486"
"2019-07-26","HIGH","200.42","8524"
"2020-02-19","HIGH","242.97","8666"
"2020-03-23","LOW","175.17","8689"
"2020-09-02","HIGH","310.51","8803"
"2021-03-05","LOW","316.71","8929"
"2021-10-04","LOW","361.8","9076"
"2021-11-22","HIGH","409.52","9111"
"2022-06-16","LOW","278.19","9253"
"2022-08-16","HIGH","340.88","9294"
"2022-10-13","LOW","275.84","9335"
"2023-07-19","HIGH","395.66","9525"
"2023-10-26","LOW","352.74","9595"
"2024-04-19","LOW","425.94","9715"
"2024-07-10","HIGH","516.88","9770"
"2024-08-05","LOW","447.38","9788"
"2025-02-19","HIGH","554.39","9923"
"2025-04-07","LOW","435.77","9956"
